nom;identifiant;observation;gid;lon;lat
Lyon - Perrache;219;Direction : Lyon - Perrache;34;4,81978206524302;45,752358292668035
A43 - Grenoble;223;Direction : A43 - Grenoble;45;4,889340308405491;45,7303241140097
Porte de Gerland;259;Direction : Porte de Gerland;40;4,830317178921582;45,726733643986854
Grange Blanche;220;Direction : Grange Blanche;42;4,859580532693839;45,749583639329465
Lyon Centre;224;Direction : Lyon Centre;33;4,886462962217632;45,73088472995471
Porte de Valvert;257;Direction : Porte de Valvert;39;4,781296863340424;45,76378027768377
Lyon - Villeurbanne;254;Direction : Lyon - Villeurbanne;35;4,860406657181313;45,78824630748842
Porte de La Pape;256;Direction : Porte de La Doua;38;4,89207214940456;45,78343514865332
Porte des Alpes;255;Direction : Porte des Alpes;37;4,920109360759982;45,72302417490705
Eurexpo;253;Direction : Eurexpo;36;4,9275236512071805;45,727110306497984
M7 - Marseille;258;Direction : M7 - Marseille;32;4,815703578083396;45,72886109647263
La Soie;222;Direction : Porte de La Soie;44;4,929567963895573;45,76641253718141
Tunnel Croix Rousse;218;Direction : Tunnel de la Croix Rousse;31;4,808118262515052;45,77489339523771
A7 - Paris;261;Direction : M6 - Paris;41;4,802788030091653;45,763523711361294
Caluire;221;Direction : Caluire;43;4,858734847452429;45,771690997683244
